palavra,polaridade,tipo
deviltries,-1.5,
deviltry,-2.8,
devilwood,-0.8,
devilwoods,-1.0,
dedicar,1.4,
dedicar,1.7,
devotadamente,1.6,
devocao,2.0,
devoto,1.6,
devoto,0.5,
dedicar,1.6,
dedicar,2.1,
devocional,1.2,
devotamente,2.2,
devocional,1.2,
devocoes,1.8,
diamante,1.4,
pau,-2.3,
Dickhead,-3.1,
morrer,-2.9,
morrer,-2.6,
dificil,-1.5,
dificuldade,-1.2,
dificilmente,-1.7,DECR
dificuldade,-1.4,
digna,2.2,
dignificar,2.0,
dignificar,1.8,
dignificar,2.1,
dignitario,0.6,
dignitario,1.9,
dignidade,1.4,
dignidade,1.7,
dilema,-0.7,
dipshit,-2.1,
sujeira,-1.4,
mais sujo,-1.4,TERM
sujar,-1.9,
desativar,-2.1,
desvantagem,-1.8,
desfavorecir,-1.7,
desvantajoso,-1.8,
desvantajosamente,-2.1,
desvantagem,-1.7,
discordar,-1.6,
desagradavel,-1.7,
discordancia,-1.9,
desagradavelmente,-1.5,
discordar,-1.3,
discordar,-1.4,
desacordo,-1.5,
desentendimento,-1.8,
discordar,-1.3,
desaparecer,-0.9,
desaparecer,-0.9,
desaparecer,-1.4,
decepcionar,-1.7,
desapontar,-2.1,
decepcionar,-1.7,
desapontante,-2.2,
decepcionantemente,-1.9,
desapontamento,-2.3,
Decepcoes,-2.0,
decepcionar,-1.6,
desastre,-3.1,
desastr,-2.6,
desastroso,-2.9,
nao acreditar,-1.2,TERM
descartar,-1.0,
descartar,-1.4,
descartar,-1.0,
desconforto,-1.8,
desconfortavel,-1.6,
incompativel,-1.6,
desconsolar,-2.3,
desconsolacao,-1.7,
descontente,-1.8,
discordia,-1.7,
descontar,0.2,
desencorajar,-1.8,
desencorajador,-1.2,
desencorajar,-1.7,
desencorajamento,-2.0,
desencorajamento,-1.8,
desencorajador,-1.9,
desencorajar,-1.9,
desencorajar,-1.9,
desencorajadoramente,-1.8,
desacreditar,-1.9,
desdem,-2.1,
desgraca,-2.2,
desonrar,-2.0,
disfarce,-1.0,
disfarcar,-1.1,
disfarce,-1.0,
disfarcar,-1.3,
com nojo,-2.4,TERM
com desgosto,-3.0,TERM
desgostoso,-2.6,
repugnante,-2.4,
nojento,-2.9,
desanimar,-2.0,
desanimador,-1.8,
desanimadoramente,-2.0,
moleza,-2.3,
Molezas,-2.2,
desanimar,-2.2,
desonesto,-2.7,
desilusao,-1.0,
desiluder,-1.9,
desiludir,-1.3,
desilusoes,-1.5,
nao inclinar,-1.1,TERM
desarticular,-1.3,
nao gostar,-1.6,TERM
nao gostar,-1.7,TERM
lugubre,-3.0,
desalento,-1.8,
consternar,-1.9,
consternante,-2.2,
desanimos,-1.8,
desordem,-1.7,
desorganizar,-1.2,
desorientar,-1.5,
desacreditar,-2.0,
depreciar,-1.4,
deprecer,-1.6,
desagradar,-1.9,
disputar,-1.7,
disputar,-1.4,
disputa,-1.1,
disputar,-1.7,
desqualificar,-1.8,
inquietacao,-1.3,
desconsiderar,-1.6,
desconsiderar,-0.9,
desconsiderar,-1.4,
desrespeito,-1.8,
desrespeitar,-2.0,
disrupcao,-1.5,
Disrupcoes,-1.4,
disruptivo,-1.3,
insatisfacao,-2.2,
insatisfacoes,-1.9,
insatisfatorio,-2.0,
insatisfeito,-1.6,
desagradar,-2.2,
distorcer,-1.3,
distorcer,-1.7,
distorcer,-1.1,
distorcer,-1.4,
distrair,-1.2,
de istractable,-1.3,
distraer,-1.4,
distraidamente,-0.9,
distractividade,-1.3,
distractil,-1.5,
distrair,-1.2,
distracao,-1.6,
distracoes,-1.0,
distrativo,-1.6,
distrair,-1.3,
perturbar,-2.6,
angustiante,-2.2,
com angustia,-1.7,TERM
desconfianca,-1.8,
desconfiar,-2.4,
com desconfianca,-1.8,TERM
desconfiar,-2.1,
suspeitar,-1.3,
perturbar,-1.7,
perturbacao,-1.6,
disturbio,-1.4,
perturbador,-1.4,
perturbador,-2.1,
perturbadoramente,-2.3,
perturbar,-1.9,
Dithering,-0.5,
adivinhacao,1.7,
adivinhador,1.6,
divino,2.6,
adivinhar,0.8,
divinamente,2.9,
adivinho,0.3,
adivinhador,1.2,
divino,0.8,
divinest,2.7,
mergulho,0.3,
adivinhar,0.9,
divinizar,0.5,
divindade,1.8,
divindade,2.7,
tonto,-0.9,
doloroso,-2.2,
dominio,0.8,
dominio,-0.1,
predominantemente,0.2,INCR
dominante,0.2,
dominar,-0.5,
dominar,0.2,
dominar,-1.2,
dominacao,-0.2,
dominacoes,-0.3,
dominativo,-0.7,
dominador,-0.4,
dominatrices,-0.2,
dominatrix,-0.5,
dominatrixes,0.6,
doom,-1.7,
doomful,-2.1,
dooming,-2.8,
doom,-1.1,
doomsayer,-0.7,
doomsayers,-1.7,
doomsaying,-1.5,
doomsayings,-1.5,
apocalipse,-2.8,
doomsdayer,-2.2,
dia utel,-2.4,TERM
doomster,-2.2,
doomster,-1.6,
doomia,-1.1,
dork,-1.4,
dorkier,-1.1,
dorkiest,-1.2,
dorks,-0.5,
dorky,-1.1,
duvidar,-1.5,
duvidoso,-1.5,
duvidar,-1.1,
duvidar,-1.6,
duvidoso,-1.3,
duvidosamente,-1.4,
sem duvida,0.9,TERM
falta de duvida,0.8,TERM
duvida,-1.2,
Douche,-1.5,
babaca,-3.0,
arrastar,-0.9,
arrastar,-0.2,
arrastar se,-0.7,
drenar,-1.5,
temerar,-2.0,
temir,-2.7,
terrivel,-2.4,
temer,-2.4,
dreadlock,-0.4,
dreadlock,-0.2,
dreadnought,-0.6,
dreadnoughts,-0.4,
temer,-1.4,
sonhe,1.0,
sonho,1.7,
droopy,-0.8,
soltar,-1.1,
afogar,-2.7,
afogar,-2.9,
se afogar,-2.2,TERM
bebar,-1.4,
dud,-1.0,
macante,-1.7,
dullard,-1.6,
dullards,-1.8,
embotar,-1.5,
mais aborrecido,-1.7,TERM
embotamento,-1.1,
insensibilidade,-1.4,
opacia,-1.9,
aborrecer,-1.0,
Dullsville,-2.4,
burro,-2.3,
idiota,-2.6,
haltere,-0.8,
halter,-0.2,
dumbcane,-0.3,
dumbcane,-0.6,
dumbed,-1.4,
mais burro,-1.5,TERM
mais tonto,-2.3,TERM
estupefato,-0.1,
dumbfounder,-1.0,
estupefato,-1.0,
dumbfounds,-0.3,
dumbheads,-1.9,
dumbing,-0.5,
idiotamente,-1.3,
mudez,-1.9,
dumbstruck,-1.0,
Dumbwaiter,0.2,
nomadas,-0.1,
despejar,-1.6,
dumpcart,-0.6,
despejar,-1.7,
dumper,-1.2,
dumper,-0.8,
dumpier,-1.4,
dumpiness,-1.2,
dumping,-1.3,
dumpings,-1.1,
dumpish,-1.8,
bolinho de massa,0.4,TERM
dumpling,-0.3,
lixoes,-1.7,
deposito de lixo,-0.6,TERM
lata de lixo,-1.0,TERM
dumpy,-1.7,
morar,0.5,
morar,0.4,
morador,0.3,
morador,-0.3,
habitacao,0.1,
habitar,-0.1,
dinamico,1.6,
dinamicamente,1.5,
dinamico,1.1,
dinamismo,1.6,
dinamismo,1.2,
dinamista,0.9,
dinamite,0.7,
dinamitar,-0.9,
dinamiter,-1.2,
dinamitador,0.4,
dinamite,-0.3,
dinamitar,0.2,
dinamometro,0.3,
dinamometro,0.3,
dinamometrico,0.3,
dinamometria,0.6,
dinamos,0.3,
dynamotor,0.6,
disfuncao,-1.8,
ansiar,1.7,
eager,1.6,
fervoroso,2.3,
facilidade,1.5,
aliviar,1.2,
facil,1.5,
com facilidade,1.4,TERM
cavalete,0.3,
Servidao,1.6,
servidoes,0.4,
aliviar,1.3,
mais facil,1.8,TERM
facilmente,1.4,
aliviar,1.0,
maleavel,1.3,
ecstacy,3.3,
extase,2.3,
extase,2.9,
extatico,2.3,
extaticamente,2.8,
Ecstatics,2.9,
estranho,-1.5,
eeryr,-0.9,
eficaz,2.1,
efetivamente,1.9,
eficiencia,1.6,
eficiencia,1.5,
eficiente,1.8,
eficientemente,1.7,
effin,-2.3,
egoismo,-1.4,
egoismo,-1.0,
egoista,-2.3,
egoisticamente,-1.8,
egoista,-1.7,
exaltar,3.2,
exaltacao,1.5,
elegancia,2.1,
elegancia,1.8,
elegantemente,1.9,
embaracar,-1.2,
embaracar,-1.1,
envergonho,-1.7,
embaracosamente,-1.7,
embaraco,-1.9,
embaraco,-1.7,
Abraco,1.3,
emergencia,-1.6,
emocional,0.6,
empatico,1.7,
esvaziar,-0.7,
mais vazio,-0.7,TERM
empir,-0.7,
esvaziar,-0.7,
de forma vazio,-1.0,TERM
vazio,-1.9,
vazio,-1.5,
emptim,-0.3,
esvaziar,-0.6,
encantar,1.6,
encorajar,2.3,
encorajar,1.5,
encorajamento,1.8,
incentivo,2.1,
incentivador,1.5,
incentivador,1.5,
encorajar,2.4,
encorajadoramente,2.0,
endossar,1.3,
endosso,1.3,
endossar,1.4,
inimigo,-2.2,
inimigo,-2.5,
energetico,1.9,
energicamente,1.8,
energetico,0.3,
energia,0.9,
energizar,2.2,
energizar,2.1,
energizar,1.9,
energizacao,1.6,
energizacoes,1.5,
energizador,2.1,
energizante,1.7,
energizar,2.1,
energia,1.1,
se empenhar,1.4,TERM
acionar,1.7,
noivado,2.0,
engenheiro,1.1,
envolvente,1.0,
envolver,1.0,
noivar,1.4,
absorver,0.6,
gostar,2.3,
desfrutador,2.2,
desfrutar,2.4,
prazer,2.0,
gozar,2.3,
ilumine,2.3,
iluminar,2.2,
esclarecedor,2.3,
enrage,-2.6,
enfurecer,-1.7,
enfurecer,-1.8,
emendor,-2.8,
enrapture,3.0,
escravizar,-3.1,
escravizar,-1.7,
escravizas,-1.6,
garantir,1.6,
garantir,1.1,
empreendedor,2.3,
entreter,1.3,
entreter,1.7,
animador,1.6,
animador,1.0,
entreter,1.9,
entretenimento,1.8,
entretenimento,2.3,
entreter,2.4,
encantar,0.4,
entusiasmo,1.6,
entusiasmar,2.0,
entusiasmar,1.7,
entusiasmo,2.0,
entusiasta,1.5,
com entusiasmo,2.6,TERM
entusiasta,1.4,
intitular,1.1,
confiar,0.8,
invejar,-1.1,
inveja,-1.0,
envier,-1.1,
invejoso,-1.1,
invejar,-0.8,
erroneo,-1.8,
erro,-1.7,
erro,-1.4,
escapar,0.7,
escapar,0.5,
escapar,0.2,
etico,2.3,
euforia,3.3,
euforico,3.2,
despejo,-2.0,
mal,-3.4,
malfeitor,-3.1,
malfeitor,-2.4,
ruindade,-3.1,
maldade,-2.5,
Eviler,-2.1,
mais malvado,-2.5,TERM
muito mau,-2.9,TERM
terrivelmente mau,-3.3,TERM
malevolo,-3.4,
maldade,-3.1,
mal,-2.7,
exagerar,-0.6,
exagerar,-0.6,
exagerar,-0.7,
exasperar,-1.8,
excel,2.0,
se destacar,2.2,TERM
excelencia,3.1,
excelencia,2.5,
excelente,2.7,
excelentemente,3.1,
superar,2.5,
se destacar,2.5,TERM
excelsior,0.7,
excitabilidade,1.5,
excitabilidade,1.2,
excitavel,1.5,
excitante,1.8,
excitante,1.2,
excitacao,1.8,
excitacoes,1.8,
excitador,1.1,
excitar,2.1,
animar,1.4,
excitadamente,2.3,
emocoes,1.9,
excitador,1.4,
excitar,2.1,
emocionante,2.2,
emocionantemente,1.9,
exciton,0.3,
excitonic,0.2,
excitons,0.8,
excluir,-0.9,
excluer,-1.4,
exclusaor,-1.2,
exclusivo,0.5,
excruciar,-2.7,
excruciar,-1.3,
excruciar,-1.0,
excruciante,-3.3,
excrucitantemente,-2.9,
excruciacao,-3.4,
excruciacoes,-1.9,
isentar,0.4,
escape,-1.2,
exausto,-1.5,
exaustor,-1.3,
exaustor,-1.3,
exaustao,-0.8,
esgotavel,-1.0,
cansativo,-1.5,
exaustivo,-0.5,
exaustivamente,-0.7,
desnecessario,0.2,
falta de exaustao,0.9,TERM
exhilarar,2.8,
estimulante,1.7,
exonerar,1.8,
exonerar,1.8,
exonerar,1.6,
exonerar,1.0,
expandir,1.3,
se expander,0.4,TERM
expulsar,-1.9,
expulso,-1.0,
expulsar,-1.6,
expulsar,-1.6,
explorar,-0.4,
explorar,-2.0,
explorar,-1.9,
exploracoes,-1.4,
exploracao,0.9,
expor,-0.6,
expor,-0.3,
expoer,-0.5,
expor,-1.1,
ampliar,0.7,
se estender,0.5,TERM
exuberante,2.8,
exultante,3.0,
exultantemente,1.4,
fab,2.0,
fabuloso,2.4,
fabuloso,2.8,
viar,-2.1,
bicha,-3.4,
bixa,-3.2,
falhar,-2.5,
fracassar,-2.3,
falhar,-2.3,
falha,-2.2,
faille,0.1,
falha,-1.8,
sensacional,-0.3,
justo,1.3,
fe,1.8,
colher,1.3,
fiel,1.9,
fielmente,1.8,
fidelidade,1.9,
sem fe,-1.0,TERM
infidelidade,-1.8,
falso,-2.1,
falsificacoes,-1.8,
fingir,-1.8,
caer,-1.5,
queda,-0.6,
falsificar,-1.6,
falsificar,-2.0,
fama,1.9,
ventilador,1.3,
fantastico,2.6,
fantasticidade,2.1,
fantasticidade,1.7,
farsa,-1.7,
fascinar,2.4,
fascinar,2.1,
fascinar,2.0,
fascinacao,2.2,
fascinante,2.5,
fascista,-2.6,
fascista,-0.8,
fatal,-2.5,
fatalismo,-0.6,
fatalismos,-1.7,
fatalista,-0.5,
fatalista,-1.2,
fatalidade,-2.9,
fatalidade,-3.5,
fatalmente,-3.2,
fadiga,-1.0,
cansado,-1.4,
cansar se,-1.3,
fatigantemente,-1.5,
censurador,-0.8,
deteccao de avaria,-2.1,TERM
danificar,-2.1,
mais danificar,-2.1,TERM
poder falhar,-2.0,TERM
falta de responsabilidade,-1.5,TERM
sem falha,2.0,TERM
falta de falha,1.1,TERM
fav,2.0,
favorito,1.9,
favor,1.7,
favoravel,2.1,
favoravelmente,1.6,
favorecer,1.8,
favorecer,1.3,
favorecedor,1.4,
favorecer,1.8,
favorito,1.8,
favoritismo,0.7,
favoritismo,0.7,
favor,1.0,
favorito,1.6,
medo,-2.2,
temer,-2.2,
com medo,-2.2,TERM
mais terrivel,-2.5,TERM
sem medo,1.1,TERM
destemor,1.1,
medo,-1.8,
temivel,-1.7,
engordar,-1.8,
fraco,-1.2,
sentindo-me,0.5,
crime,-2.5,
feroz,-0.4,
ferozmente,-1.1,
ferocidade,-1.0,
ferocidade,-1.0,
fervente,0.5,
festival,2.2,
festejador,1.3,
frequentador de o festival,1.2,TERM
festival,1.5,
festivo,2.0,
festivamente,2.2,
festividade,2.4,
festividade,2.1,
feudo,-1.4,
feudal,-0.8,
feudalismo,-0.9,
feudal,-0.2,
feudalista,-0.9,
feudalidade,-0.4,
feudalizacao,-0.3,
enfeudar,-0.5,
feudalizar,-0.8,
feudaliza,-0.1,
feudalizar,-0.7,
feudalmente,-0.6,
feudaries,-0.3,
feudatorio,-0.1,
feudacao,-1.6,
Feudista,-1.1,
feudista,-0.7,
fiasco,-2.3,
inquieto,-1.4,
fogoso,-1.4,
festa,2.1,
festa,1.5,
luta,-1.6,
lutador,0.6,
luta,-1.9,
Fogo,-1.4,
disparar,-2.6,
disparar,-1.4,
em forma,1.5,TERM
ginasticar,1.1,
flagship,0.4,
bajular,0.4,
lisonjeado,1.6,
adulador,-0.3,
adulador,0.3,
lisonjo,1.2,
lisonjeiro,1.3,
de forma lisonjeiro,1.0,TERM
lisonjeiro,0.6,
lisonjeiro,0.4,
fugir,-0.7,
flexibilidade,1.0,
flexibilidade,1.4,
flexivel,0.9,
com flexibilidade,1.3,TERM
flerte,1.7,
coquete,0.5,
flertar,-0.1,
flertar,-0.2,
flertador,-0.4,
flipera,0.6,
mais entusiasmado,-0.1,TERM
mais flirti,0.4,TERM
flertar,0.7,
flop,-1.4,
flop,-1.4,
gripe,-1.6,
flunk,-1.3,
flunked,-2.1,
flunker,-1.9,
flunkers,-1.6,
lacaio,-1.8,
flunkeys,-0.6,
flunkies,-1.4,
Flunking,-1.5,
flunks,-1.8,
Flunky,-1.8,
nervoso,-1.0,
focar,1.6,
foehns,0.2,
homem,-1.8,
Femen,-0.3,
fetal,-0.1,
feter,-2.3,
foetor,-3.0,
foetors,-2.1,
feto,0.2,
feto,0.2,
com carinho,1.9,TERM
gostar,2.5,
fooleries,-1.8,
tolice,-1.8,
lobo,-0.8,
foplayishe,-0.4,
mais foolhardier,-1.5,TERM
mais fofo,-1.3,TERM
em tontura,-1.4,TERM
Insensato,-1.1,
imbecil,-1.7,
mais tolo,-1.4,TERM
tolo,-1.8,
tolice,-2.0,
infalivel,1.6,
tolo,-2.2,
foolscaps,-0.8,
proibir,-1.3,
proibicao,-1.4,
proibicoes,-1.0,
proibidor,-1.5,
proibir,-1.9,
proibidamente,-1.9,
proibe,-1.3,
forcar,-2.0,
encerramento,-0.5,
foreclosur,-2.4,
perdoar,1.4,
esquecar,-0.9,
esquecer,-1.1,
perdoavel,1.7,
perdoar,1.1,
perdoar,1.6,
perdao,1.1,
perdoador,1.7,
perdiz,1.2,
perdoar,1.7,
perdoar,1.9,
indulgencia,1.8,
afortunar,1.9,
foughten,-1.9,
frenetico,-1.9,
freneticamente,-1.4,
Franticness,-0.7,
fraude,-2.8,
fraude,-2.3,
fraudador,-2.4,
fraudulento,-2.2,
aberracao,-1.9,
assustar,-1.2,
Freakiness,-1.4,
Freaking,-1.8,
freakish,-2.1,
freakishly,-0.8,
loucura,-1.4,
surtar,-1.8,
Freakouts,-1.5,
louco,-0.4,
loucao,-1.5,
livre,2.3,
base livre,-0.1,TERM
basear em livre,0.8,TERM
base livre,0.8,TERM
freebase,-0.4,
freebee,1.3,
freebees,1.3,
freebie,1.8,
brinde,1.8,
bordo livre,0.3,TERM
freeboards,0.7,
freeboot,-0.7,
freebooter,-1.7,
freebooter,-0.2,
freebooting,-0.8,
livre nascer,1.2,TERM
libertar,1.7,
liberto,1.1,
libertos,0.7,
liberdade,3.2,
liberdade,1.2,
libertar,1.6,
liberto,1.3,
forma livre,0.9,TERM
mao livre,0.5,TERM
freehanded,1.4,
freehearted,1.5,
livreiro,0.5,
freeholder,0.1,
terra livre,1.0,TERM
liberar,2.1,
Freelance,1.2,
freelancer,0.7,
trabalhador autonomo,1.1,TERM
autonomo,0.4,
freelance,0.7,
trabalho autonomo,0.4,TERM
freeload,-1.9,
freeloaded,-1.6,
freeloader,-0.7,
freeloaders,-0.1,
Freeloading,-1.3,
freeloads,-1.3,
livremente,1.9,
Freeman,1.7,
Freemartin,-0.5,
freemasonrie,0.7,
Maconaria,0.3,
freemen,1.5,
freenesl,1.6,
freenesses,1.7,
mais livre,1.1,TERM
Freers,1.0,
liberar,1.2,
freesia,0.4,
freesia,0.4,
autonomo,1.1,
estilo livre,0.7,TERM
freestyler,0.4,
freestyler,0.8,
freestyles,0.3,
pensador livre,1.0,TERM
freethinker,1.0,
freethinking,1.1,
freeware,0.7,
auto-estrada,0.2,
roda livre,0.5,TERM
Freewheeled,0.3,
freewheeler,0.2,
freewheelers,-0.3,
freewheeling,0.5,
freewheelingly,0.8,
roda livre,0.6,TERM
livre Arbitrio,1.0,TERM
escrita livre,0.8,TERM
congelar,0.2,
freezer,-0.1,
congelar,-0.1,
congelar,-0.4,
congelante,-1.6,
frenesi,-1.3,
fresco,1.3,
amigo,2.2,
amigo,1.7,
amizade,1.8,
amigo sem amigo,-1.5,TERM
mais amigavel,2.0,TERM
amistoso,2.2,
muito amigo,1.8,TERM
simpatia,2.0,
amigavel,2.2,
amizade,1.6,
susto,-1.6,
amedrontar,-1.4,
assustador,-2.2,
assustadoramente,-2.1,
assustar,-1.7,
espantoso,-2.3,
espantosamente,-1.7,
frights,-1.1,
Frisky,1.0,
franzir o testa,-1.4,TERM
frustrar,-2.0,
frustrar,-2.4,
frustrar,-1.9,
frustrante,-1.9,
frustrantemente,-2.0,
frustracao,-2.1,
frustracoes,-2.0,
porrar,-2.5,
foder,-3.4,
fudedor,-2.9,
fudedor,-3.2,
cabeca de foda,-3.1,TERM
foda,-2.1,
fucktard,-3.1,
fud,-1.1,
fugir,-2.5,
falar,-3.2,
preencher,1.9,
realizar,1.8,
cumprir,1.0,
fumo,-1.2,
fumar,-1.8,
sem fumo,0.3,TERM
muito parecido,-0.7,TERM
fumador,0.7,
fumador,-0.8,
fumo,-0.1,
fumet,0.4,
fumeta,-0.4,
fumacar,-0.6,
fumar,-2.7,
funeral,-1.5,
funeral,-1.6,
funky,-0.4,
diversificar,2.3,
funil,0.1,
canalizar,0.1,
funnelform,0.5,
canalizar,-0.1,
funis,0.4,
funner,2.2,
mais divertido,2.9,TERM
mais engracado,1.7,TERM
engracado,1.3,
de maneira engracar,1.9,TERM
funniness,1.8,
funcionamento,1.8,
engracar,1.9,
homem engracar,1.4,TERM
homem engracar,1.3,TERM
furioso,-2.7,
furiosamente,-1.9,
furio,-2.7,
inutil,-1.9,
mordaca,-1.4,
amordacar,-1.3,
ganhar,2.4,
ganhar,1.6,
ganhar,1.8,
ganho,1.4,
galante,1.7,
galantemente,1.9,
galanter,2.6,
nerd,-0.8,
mais geek,0.2,TERM
muito geek,-0.1,TERM
geek,-0.4,
nerdice,-0.6,
generosidade,2.6,
generosidade,2.3,
generoso,2.3,
generosamente,1.8,
genial,1.8,
gentil,1.9,
mais suave,1.4,TERM
mais gentil,1.8,TERM
suavemente,2.0,
fantasma,-1.3,
vertiginoso,-0.6,
presente,1.9,
Giggler,0.6,
giggler,1.4,
riso,0.8,
gigglier,1.0,
Giggliest,1.7,
Gigglingly,1.1,
Giggly,1.0,
doador,1.4,
doador,1.7,
dar,1.4,
com prazer,1.4,TERM
glamour,2.1,
glamar,1.8,
glamorizacao,1.6,
glamorizar,1.7,
glamorizar,2.1,
glamurador,2.4,
glamorizer,1.6,
glamoriz,2.4,
glamoroso,2.3,
glamouroso,2.1,
glamor,1.4,
glamourize,0.8,
sem glamour,-1.6,TERM
melancolia,-2.6,
melancolico,-1.9,
mais sombrio,-1.5,TERM
abatimento,-1.8,
Glooming,-1.8,
sombrio,-0.6,
glorioso,2.4,
gloria,2.1,
glorificacao,2.0,
glorificar,2.3,
glorificador,2.3,
glorificador,1.6,
glorificar,2.2,
glorificar,2.7,
glorificar,2.4,
gloriole,1.5,
glorioles,1.2,
gloriosamente,2.9,
gloriosidade,2.6,
gloria,2.5,
glum,-2.1,
gn8,0.6,
Deus,1.1,
maldito,-2.5,
goddams,-1.9,
entregar de Deus,2.8,TERM
bom,1.9,
bondade,2.0,
incrivelmente,2.3,INCR
belissimo,2.9,
belissim,2.1,
fofoca,-0.7,
fofoqueiro,-1.1,
fofoqueiro,-1.1,
bisbilhotice,-1.6,
Gossipmonger,-1.0,
gossipmongers,-1.4,
fofoca,-1.3,
fofocar,-1.8,
fofoquices,-0.8,
gossipry,-1.2,
fofocar,-1.3,
graca,1.8,
agraciar,0.9,
gracioso,2.0,
mais gracioso,2.8,TERM
graciosamente,2.4,
gratidao,2.2,
graca,1.6,
gracile,1.7,
gracioso,0.6,
gracilis,0.4,
gracilidade,1.2,
gracing,1.3,
graciousness,2.4,
grande,2.0,
grandee,1.1,
grande,1.2,
grande,1.7,
grandeza,2.4,
grandeza,2.1,
conceder,1.5,
concedir,1.0,
conceder,1.3,
concessoes,0.9,
grato,2.0,
gratefuller,1.8,
com gratidao,2.1,TERM
graticule,0.1,
graticules,0.2,
gratificacao,1.6,
gratificar,1.5,
satisfazer,1.3,
gratificante,2.3,
gratificantemente,2.0,
gratinar,0.4,
grade,-0.4,
Gratingly,-0.2,
grade,-0.8,
gratine,0.2,
Gratis,0.2,
gratz,2.0,
grave,-1.6,
Graved,-0.9,
cascalho,-0.5,
gravar,-0.5,
sem casca,-1.3,TERM
gravemente,-1.5,
graven,-0.9,
gravenessr,-1.5,
mais grave,-1.1,TERM
Gravers,-1.2,
sepultura,-1.2,
tumulo,-0.8,
tumulo,-1.6,
lapide,-0.7,
lapide,-0.5,
cemiterio,-1.2,
cemiterio,-1.2,
otimar,3.1,
ganancia,-1.7,
mais esperto,-2.8,TERM
avidamente,-1.9,
Greenwash,-1.8,
lavagem ecologico,-0.4,TERM
cumprimentar,1.3,
cumprimentar,1.1,
cumprimento,1.6,
saudacoes,1.8,
cumprimentar,0.6,
cinzento,0.2,
prostracao,-2.2,
queixa,-1.5,
agravo,-1.1,
sofrer,-1.6,
sofrer,-2.0,
lamentador,-1.9,
delito,-0.3,
sofrer,-2.1,
sofrer,-2.3,
gravidade,-2.7,
careta,-1.0,
fazer um careta,-2.0,TERM
mueco,-1.8,
fazer careta,-1.4,TERM
grimalkin,-0.9,
grimed,-1.2,
Grimes,-1.0,
severamente,-0.7,
Griminess,-1.6,
griming,-0.7,
sombriamente,-1.3,
mais grimmest,-0.8,TERM
escuridao,-0.8,
sorrir,2.1,
sorrir,1.1,
Grinner,1.1,
sorriso,0.9,
arrecadar,-0.4,
grosse,-0.8,
cobranco,-0.3,
grosser,-1.8,
grossular,-0.3,
grossularite,-0.1,
grossularite,-0.7,
grossular,-0.3,
Grouch,-2.2,
chatear,-0.8,
grunhir,-0.9,
mais mal-humorado,-2.0,TERM
mal-humorado,-1.4,
gritar,-1.7,
crescer,0.7,
crescimento,1.6,
mais culpar,-2.0,TERM
com culpa,-1.1,TERM
inocente,0.8,
falta de culpa,0.6,TERM
culpa,-1.4,
credulidade,-1.6,
credulo,-1.5,
arma de fogo,-1.4,TERM
h8,-2.7,
ha,1.4,
hackear,-1.7,
haha,2.0,
hahaha,2.6,
haha,1.8,
saudar,0.3,
saudar,0.9,
aleluia,3.0,
bonito,2.2,
bem-estar,2.4,
infeliz,-1.4,
desamparo,-1.4,
mais feliz,2.4,TERM
voce,1.1,
molestar,-2.2,
assediar,-2.5,
assediante,-2.4,
assaltante,-2.8,
assediar,-2.5,
assediar,-2.5,
mais duro,-0.6,TERM
robusto,1.7,
prejuizo,-2.5,
prejudicar,-2.1,
nocividade,-2.6,
prejudicar,-2.6,
inofensivo,1.0,
inofensivamente,1.4,
harmonico,1.8,
harmonico,0.6,
harmonicamente,2.1,
harmonico,0.1,
harmonico,0.9,
harmonia,1.3,
harmonioso,2.0,
harmoniosamente,1.9,
harmoniosidade,1.8,
harmonizar,1.8,
harmonizar,1.3,
harmonizar,1.4,
harmonio,0.9,
harmonizavel,0.8,
harmonizacao,1.9,
harmonizacoes,0.9,
harmonizador,1.6,
harmonizador,1.6,
harmonizar,1.5,
harmonia,1.7,
prejudicar,-2.2,
harried,-1.4,
asperar,-1.9,
mais severo,-2.2,TERM
odio,-2.7,
odiar,-3.2,
odioso,-2.2,
odiar,-3.6,
odiador,-1.8,
odiador,-2.2,
odeiar,-1.9,
odiar,-2.3,
assombror,-1.7,
assombrar,-2.1,
assombrar,-1.1,
assombracoes,-1.0,
havoc,-2.9,
saudavel,1.7,
destruidor de coracoes,-2.2,TERM
quebra-coracoes,-2.1,
dolorosamente,-1.8,
quebrante,-1.8,
coracao partir,-3.3,TERM
sincero,2.5,
sem coracao,-2.2,TERM
falta de coracao,-2.8,TERM
cer,2.3,
celestial,3.0,
mais celestial,2.7,TERM
celestial,2.3,
ceu,1.7,
para o ceu,1.4,TERM
heh,-0.6,
inferno,-3.6,
infernal,-3.2,
socorro,1.7,
ajudante,1.4,
ajudante,1.1,
util,1.8,
de forma util,2.3,TERM
gentileza,1.9,
ajudar,1.2,
desamparar,-2.0,
impotente,-1.4,
ajudar,1.6,
heroi,2.6,
heroi,2.3,
heroico,2.6,
homerico,2.9,
heroicamente,2.4,
heroicomic,1.0,
heroics,2.4,
heroina,-2.2,
heroina,1.8,
heroismo,2.8,
heroismo,2.2,
heroizar,2.1,
heroiz,2.2,
heroizar,1.9,
garca,0.1,
heronries,0.7,
heronry,0.1,
garco,0.5,
hesitacao,-0.9,
hesitacoes,-1.0,
hesitante,-1.0,
hesitantemente,-1.2,
hesite,-1.1,
hesitar,-1.3,
hesitater,-1.4,
